,home_points,home_assists,home_blocks,home_rebounds,home_turnovers,home_personal_fouls,away_points,away_assists,away_blocks,away_rebounds,away_turnovers,away_personal_fouls,HOME_OUTCOME,AWAY_OUTCOME
home_points,1.0,0.57,0.07,0.11,-0.08,0.15,0.37,0.15,-0.16,-0.24,0.06,0.2,0.45,-0.45
home_assists,0.57,1.0,0.09,0.03,-0.01,-0.01,0.1,0.12,-0.14,-0.15,0.04,-0.16,0.31,-0.31
home_blocks,0.07,0.09,1.0,0.17,0.05,-0.0,-0.14,-0.11,0.03,0.14,-0.01,0.01,0.17,-0.17
home_rebounds,0.11,0.03,0.17,1.0,0.14,0.02,-0.25,-0.15,0.13,0.03,-0.19,0.06,0.24,-0.24
home_turnovers,-0.08,-0.01,0.05,0.14,1.0,0.18,0.04,0.04,-0.04,-0.2,0.19,0.09,-0.1,0.1
home_personal_fouls,0.15,-0.01,-0.0,0.02,0.18,1.0,0.22,-0.1,0.01,0.04,0.09,0.28,-0.12,0.12
away_points,0.37,0.1,-0.14,-0.25,0.04,0.22,1.0,0.57,0.05,0.11,-0.11,0.18,-0.45,0.45
away_assists,0.15,0.12,-0.11,-0.15,0.04,-0.1,0.57,1.0,0.07,0.02,-0.03,0.02,-0.28,0.28
away_blocks,-0.16,-0.14,0.03,0.13,-0.04,0.01,0.05,0.07,1.0,0.17,0.01,0.02,-0.17,0.17
away_rebounds,-0.24,-0.15,0.14,0.03,-0.2,0.04,0.11,0.02,0.17,1.0,0.12,0.02,-0.25,0.25
away_turnovers,0.06,0.04,-0.01,-0.19,0.19,0.09,-0.11,-0.03,0.01,0.12,1.0,0.15,0.13,-0.13
away_personal_fouls,0.2,-0.16,0.01,0.06,0.09,0.28,0.18,0.02,0.02,0.02,0.15,1.0,0.1,-0.1
HOME_OUTCOME,0.45,0.31,0.17,0.24,-0.1,-0.12,-0.45,-0.28,-0.17,-0.25,0.13,0.1,1.0,-1.0
AWAY_OUTCOME,-0.45,-0.31,-0.17,-0.24,0.1,0.12,0.45,0.28,0.17,0.25,-0.13,-0.1,-1.0,1.0
